epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,417.778,1.01484,2.57384,1.26667,0.75941,0.25345,0.41475,0.27528,1.15758,2.78824,1.29312,0.000363836,0.000363836,0.000363836
2,822.183,1.00555,1.63663,1.22104,0.5138,0.54369,0.50661,0.32626,1.22343,2.30424,1.36626,0.000588804,0.000588804,0.000588804
3,1192.06,1.01503,1.40654,1.21112,0.6063,0.67569,0.64369,0.41641,1.21359,1.75353,1.3028,0.00066712,0.00066712,0.00066712
4,1714.71,0.99899,1.34452,1.19558,0.71409,0.72319,0.74371,0.49356,1.14751,1.49125,1.23683,0.000451066,0.000451066,0.000451066
5,2245.01,0.91083,1.20868,1.15868,0.75582,0.719,0.78811,0.54213,1.07222,1.25128,1.21186,0.000231088,0.000231088,0.000231088
