epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.222,1.01484,2.57384,1.26667,0.75941,0.25345,0.41475,0.27528,1.15758,2.78824,1.29312,0.000363836,0.000363836,0.000363836
2,808.477,1.02197,1.65633,1.23201,0.44474,0.50537,0.45996,0.29812,1.26074,2.2447,1.38756,0.000719633,0.000719633,0.000719633
3,1228.82,1.07276,1.4986,1.25534,0.55737,0.54266,0.49917,0.31383,1.33998,2.54267,1.50012,0.00106076,0.00106076,0.00106076
4,1622.67,1.07711,1.46584,1.2555,0.6634,0.61107,0.65873,0.4253,1.22157,1.79504,1.32231,0.00104501,0.00104501,0.00104501
5,2010.43,1.02648,1.36226,1.23323,0.71273,0.64933,0.68581,0.43968,1.20393,1.60439,1.33186,0.00102301,0.00102301,0.00102301
6,2387.42,1.04501,1.3227,1.23983,0.63141,0.57865,0.62656,0.39487,1.24441,1.56908,1.3309,0.00100101,0.00100101,0.00100101
7,2758.84,0.99567,1.26933,1.22907,0.72353,0.65255,0.73851,0.48697,1.15116,1.31923,1.29748,0.000979013,0.000979013,0.000979013
8,3151.09,0.98578,1.14978,1.20357,0.73395,0.72841,0.75575,0.49347,1.17772,1.16185,1.29089,0.000957015,0.000957015,0.000957015
9,3499.08,0.98347,1.09271,1.20351,0.76193,0.6723,0.7435,0.48604,1.16145,1.18489,1.2977,0.000935018,0.000935018,0.000935018
10,3863.95,0.94514,1.08665,1.18734,0.62847,0.65452,0.69303,0.47168,1.15781,1.44974,1.31183,0.00091302,0.00091302,0.00091302
11,4228.87,0.93777,1.03204,1.18483,0.72463,0.70982,0.77927,0.53366,1.13924,1.133,1.27387,0.000891022,0.000891022,0.000891022
12,4621.93,0.92629,0.9996,1.17616,0.68519,0.77154,0.7922,0.53135,1.1406,1.02006,1.28042,0.000869024,0.000869024,0.000869024
13,5004.92,0.95544,0.99946,1.18739,0.79402,0.68412,0.7693,0.51642,1.13302,1.10273,1.24812,0.000847026,0.000847026,0.000847026
14,5375.12,0.89758,0.90884,1.16805,0.78092,0.70182,0.77816,0.52971,1.10441,1.02974,1.22884,0.000825029,0.000825029,0.000825029
15,5719.46,0.90223,0.92562,1.16835,0.73465,0.73444,0.79802,0.54728,1.09797,1.03418,1.23499,0.000803031,0.000803031,0.000803031
16,6085.02,0.90754,0.88111,1.15673,0.81303,0.66904,0.80072,0.55369,1.10021,0.93311,1.2399,0.000781033,0.000781033,0.000781033
17,6486.58,0.88311,0.84318,1.14253,0.79514,0.74596,0.81669,0.54884,1.10227,0.96072,1.23446,0.000759035,0.000759035,0.000759035
18,6837.63,0.8688,0.83281,1.1338,0.79524,0.73814,0.81508,0.55637,1.08334,0.87696,1.2376,0.000737037,0.000737037,0.000737037
19,7182.54,0.85931,0.81691,1.13591,0.81542,0.71857,0.7986,0.55134,1.09023,0.88354,1.23138,0.00071504,0.00071504,0.00071504
20,7532.23,0.83441,0.79222,1.11965,0.8181,0.71497,0.81716,0.56797,1.07162,0.91754,1.22759,0.000693042,0.000693042,0.000693042
21,7884.41,0.84226,0.80854,1.12964,0.8459,0.7037,0.81226,0.56937,1.06104,0.87642,1.23233,0.000671044,0.000671044,0.000671044
22,8230.43,0.85469,0.79442,1.12753,0.78907,0.72662,0.81435,0.55352,1.08203,0.90749,1.23934,0.000649046,0.000649046,0.000649046
23,8613.67,0.86354,0.76953,1.11476,0.77727,0.72653,0.80682,0.55133,1.0822,0.8772,1.23057,0.000627048,0.000627048,0.000627048
24,9008.34,0.82009,0.72522,1.10654,0.78782,0.73465,0.78904,0.55351,1.08605,0.87439,1.24452,0.000605051,0.000605051,0.000605051
25,9361.64,0.81339,0.75433,1.11159,0.75155,0.74951,0.80894,0.56294,1.06785,0.8509,1.22716,0.000583053,0.000583053,0.000583053
26,9706.79,0.83084,0.76416,1.11603,0.7921,0.73968,0.82226,0.56567,1.077,0.81928,1.22609,0.000561055,0.000561055,0.000561055
27,10062.8,0.79314,0.69636,1.09028,0.77909,0.75367,0.81374,0.58262,1.06809,0.82387,1.22199,0.000539057,0.000539057,0.000539057
28,10481.2,0.80928,0.68661,1.10182,0.84234,0.72844,0.81177,0.55903,1.09777,0.81326,1.23371,0.000517059,0.000517059,0.000517059
29,10863.8,0.82896,0.68885,1.10292,0.82112,0.73163,0.80655,0.57158,1.05064,0.83686,1.20623,0.000495062,0.000495062,0.000495062
30,11231.4,0.79066,0.67162,1.09778,0.8608,0.73798,0.843,0.58839,1.08197,0.76657,1.22658,0.000473064,0.000473064,0.000473064
31,11608.8,0.74607,0.6268,1.07181,0.76781,0.78254,0.81494,0.57023,1.07616,0.88074,1.21972,0.000451066,0.000451066,0.000451066
32,12010.7,0.78417,0.66727,1.08085,0.7587,0.79186,0.82466,0.57944,1.05193,0.76771,1.21867,0.000429068,0.000429068,0.000429068
33,12402.3,0.75586,0.6231,1.07358,0.8207,0.73618,0.82315,0.57144,1.06209,0.78927,1.21319,0.00040707,0.00040707,0.00040707
34,12804.4,0.76576,0.62909,1.07201,0.7629,0.75268,0.82081,0.58038,1.05418,0.77991,1.20215,0.000385073,0.000385073,0.000385073
35,13192.3,0.75825,0.61341,1.06996,0.7763,0.78344,0.83128,0.58783,1.02948,0.76569,1.19898,0.000363075,0.000363075,0.000363075
